Label,Feature_0,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5
ParasiticDiseases,444.21408642817295,6.310062620125241,0.5658066950779396,0.0749039492994976,25430504818.185192,0.0749039492994976
BacterialRedDisease,128.41757083514167,6.002418004836009,0.4597091972961101,0.006608365997437557,311523831585.76624,0.006608365997437557
BacterialGillDisease,199.04327454805042,6.364193931106597,0.35159779061578844,0.0008626477602352866,1452755825595.4644,0.0008626477602352866
HealthyFish,210.79000558001115,8.060884121768243,0.3794962400779993,0.006934438445726046,232662791532.01816,0.006934438445726046
HealthyFish,63.22301444602889,5.318370636741273,0.306257334902747,0.0005486755346999441,1851899742537.1423,0.0005486755346999441
BacterialDiseasesAeromoniasis,166.0934341868684,7.566557133114267,0.3208992218728305,0.0033754721858752414,734981150211.7832,0.0033754721858752414
BacterialDiseasesAeromoniasis,122.46397474310763,5.272597478332562,0.4507771639206322,0.0021099955678820412,865674162789.7941,0.0021099955678820412
BacterialDiseasesAeromoniasis,148.58528117056238,7.588815177630355,0.3178769248346868,0.0006760354521391043,2722946066366.2085,0.0006760354521391043
BacterialRedDisease,109.3761547523095,5.39487878975758,0.43193968187993237,0.020911724258813394,141121344003.4966,0.020911724258813394
BacterialGillDisease,271.71101742203484,8.176514353028708,0.39592991843269565,0.020005851283325108,132045415708.13419,0.020005851283325108
FungalDiseasesSaprolegniasis,48.75590551181103,3.3003906007812023,0.5797716749063349,0.0212424787178299,52710970939.061844,0.0212424787178299
ParasiticDiseases,76.89583979167959,5.210428420856842,0.38794161899206725,0.0021962589650270756,337077730744.11993,0.0021962589650270756
HealthyFish,238.109010838746,9.46101872147037,0.24233156055841237,0.0002544438971999457,4050023901592.4307,0.0002544438971999457
ParasiticDiseases,63.01658991735204,2.879044420760522,0.7291956682539605,0.2927464100492943,11058577149.98536,0.2927464100492943
BacterialRedDisease,133.78901357802715,4.671399342798686,0.6918944929803591,0.33791023586759183,10938112948.989342,0.33791023586759183
BacterialRedDisease,45.898567797135605,4.982081964163928,0.29540157674915324,0.0004588024552079857,3694585304396.361,0.0004588024552079857
BacterialGillDisease,193.13249426498854,9.086118172236345,0.24052390504714807,0.00033985324341161426,3590321471044.001,0.00033985324341161426
HealthyFish,115.30150660301321,4.04736809473619,0.7059725722247998,0.3131266540293636,11469855816.35101,0.3131266540293636
BacterialRedDisease,216.47777295554593,8.892057784115568,0.2507502923322863,0.00036824514097909093,5209871309264.333,0.00036824514097909093
BacterialGillDisease,197.18265236530476,7.380928761857525,0.4310254368005845,0.0031268335833218265,576726715082.7911,0.0031268335833218265
BacterialDiseasesAeromoniasis,89.72961745923493,6.037138074276149,0.3084386807962629,0.0005507897431567695,2394029783920.289,0.0005507897431567695
BacterialRedDisease,335.70084940169886,9.950461900923802,0.3457492324368979,0.00511222908489589,567965020822.1112,0.00511222908489589
ParasiticDiseases,70.49643499287,6.058838117676236,0.2718329216552733,0.00028958121032368297,3815806807503.6357,0.00028958121032368297
HealthyFish,120.19740839481682,5.185566371132744,0.4542553773226962,0.006286744918954529,58722405684.47932,0.006286744918954529
ParasiticDiseases,114.45229090458184,4.8493396986793975,0.4327053958068505,0.006153495969959266,499234461238.8686,0.006153495969959266
BacterialDiseasesAeromoniasis,292.42104284208574,11.94004588009176,0.18796159725245654,0.0004958895155560786,4176145199132.815,0.0004958895155560786
ParasiticDiseases,186.23324446648894,8.78715357430715,0.2768090095599732,0.000370666870666,4070444472667.6343,0.000370666870666
HealthyFish,84.10114822337067,3.596613645961109,0.7108749001949582,0.35619981452117827,9770582646.59442,0.35619981452117827
BacterialRedDisease,41.58535261115245,3.2835166602988193,0.4806181966800327,0.002017343541701223,460988844568.8568,0.002017343541701223
ParasiticDiseases,76.3783247566495,5.435798871597744,0.3477905417337178,0.0015322053088151068,503915296773.8085,0.0015322053088151068
BacterialGillDisease,110.48149296298594,5.128154256308513,0.5122026737781553,0.08063616809234982,34885957019.13369,0.08063616809234982
